index,OPE ID_x,School,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,Address,City_y,StateCode,ZipCode,Province,Country,PostalCode
4840,001925,KANSAS CITY KANSAS COMMUNITY COLLEGE,KANSAS CITY,KS,66112,Public,Unsubsidized - Undergraduate,169,169,660126.0,171,171843.0,,,,,,,,
4857,006961,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,LOUISVILLE,KY,40202,Public,Unsubsidized - Undergraduate,1060,1090,4776008.0,1090,2385604.0,,,,,,,,
4865,001961,CENTRE COLLEGE OF KENTUCKY,DANVILLE,KY,40422,Private-Nonprofit,Unsubsidized - Undergraduate,507,508,2056252.0,508,1028138.0,,,,,,,,
4873,006960,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,MAYSVILLE,KY,41056,Public,Unsubsidized - Undergraduate,405,414,1462973.0,414,732575.0,,,,,,,,
4874,001991,ELIZABETHTOWN COMMUNITY AND TECHNICAL COLLEGE,ELIZABETHTOWN,KY,42701,Public,Unsubsidized - Undergraduate,408,451,1426369.0,451,714892.0,,,,,,,,
4876,001979,WEST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,PADUCAH,KY,42002,Public,Unsubsidized - Undergraduate,357,357,1261281.0,357,631065.0,,,,,,,,
4877,005271,SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,BOWLING GREEN,KY,42101,Public,Unsubsidized - Undergraduate,337,343,1307513.0,343,654241.0,,,,,,,,
4878,002010,LOUISIANA STATE UNIVERSITY & AGRICULTURAL & MECHANICAL COLLEGE,BATON ROUGE,LA,70803,Public,Unsubsidized - Undergraduate,5505,5829,21206744.0,5829,11014387.0,,,,,,,,
4880,002025,SOUTHERN UNIVERSITY AND AGRICULTURAL & MECHANICAL COLG AT BATON ROUGE,BATON ROUGE,LA,70813,Public,Unsubsidized - Undergraduate,3041,3267,11569639.0,3268,5811348.0,,,,,,,,
4881,002014,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,NEW ORLEANS,LA,70112,Public,Unsubsidized - Undergraduate,278,278,1407449.0,278,709178.0,,,,,,,,
4882,002031,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,70503,Public,Unsubsidized - Undergraduate,4144,4354,18367773.0,4354,9533903.0,,,,,,,,
4884,002013,LOUISIANA STATE UNIVERSITY IN SHREVEPORT,SHREVEPORT,LA,71115,Public,Unsubsidized - Undergraduate,617,618,3586688.0,618,1792322.0,,,,,,,,
4890,002024,SOUTHEASTERN LOUISIANA UNIVERSITY,HAMMOND,LA,70402,Public,Unsubsidized - Undergraduate,3136,3271,13538962.0,3273,6849605.0,,,,,,,,
4892,002015,UNIVERSITY OF NEW ORLEANS (THE),NEW ORLEANS,LA,70148,Public,Unsubsidized - Undergraduate,1699,1775,7589022.0,1775,3915387.0,,,,,,,,
4893,008067,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER IN SHREVEPORT,SHREVEPORT,LA,71130,Public,Unsubsidized - Undergraduate,15,15,101716.0,15,52608.0,,,,,,,,
4897,031062,FRANCISCAN MISSIONARIES OF OUR LADY UNIVERSITY,BATON ROUGE,LA,70808,Private-Nonprofit,Unsubsidized - Undergraduate,377,389,2052658.0,389,1013451.0,,,,,,,,
4899,002026,SOUTHERN UNIVERSITY AT NEW ORLEANS,NEW ORLEANS,LA,70126,Public,Unsubsidized - Undergraduate,629,633,3430555.0,634,1720384.0,,,,,,,,
4908,006760,UNIVERSITY OF MAINE - AUGUSTA,AUGUSTA,ME,4330,Public,Unsubsidized - Undergraduate,554,556,3005214.0,567,1519941.0,,,,,,,,
4909,002040,UNIVERSITY OF MAINE - FARMINGTON,FARMINGTON,ME,4938,Public,Unsubsidized - Undergraduate,619,638,2276357.0,645,1167749.0,,,,,,,,
4911,005525,SOUTHERN MAINE COMMUNITY COLLEGE,SOUTH PORTLAND,ME,4106,Public,Unsubsidized - Undergraduate,596,596,2338301.0,596,1164929.0,,,,,,,,
4920,002105,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,BALTIMORE,MD,21250,Public,Unsubsidized - Undergraduate,2162,2353,9520149.0,2353,4927812.0,,,,,,,,
4923,002106,UNIVERSITY OF MARYLAND - EASTERN SHORE,PRINCESS ANNE,MD,21853,Public,Unsubsidized - Undergraduate,738,779,2702298.0,782,1360419.0,,,,,,,,
4925,002080,MARYLAND INSTITUTE COLLEGE OF ART,BALTIMORE,MD,21217,Private-Nonprofit,Unsubsidized - Undergraduate,385,401,1290837.0,401,690541.0,,,,,,,,
4934,002663,UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,87131,Public,Unsubsidized - Undergraduate,2498,2558,12732584.0,2558,6822901.0,,,,,,,,
4935,002089,PRINCE GEORGE'S COMMUNITY COLLEGE,LARGO,MD,20774,Public,Unsubsidized - Undergraduate,707,707,4092920.0,707,2045598.0,,,,,,,,
4936,010319,FORTIS INSTITUTE - TOWSON,TOWSON,MD,21204,Proprietary,Unsubsidized - Undergraduate,807,816,3721099.0,927,1517934.0,,,,,,,,
4939,002095,SAINT MARY'S COLLEGE OF MARYLAND,ST. MARYS CITY,MD,20686,Public,Unsubsidized - Undergraduate,463,488,1890650.0,488,950581.0,,,,,,,,
4942,001436,CAPITOL TECHNOLOGY UNIVERSITY,LAUREL,MD,20708,Private-Nonprofit,Unsubsidized - Undergraduate,119,119,454479.0,119,232488.0,,,,,,,,
4944,034933,ALL-STATE CAREER,BALTIMORE,MD,21224,Proprietary,Unsubsidized - Undergraduate,342,343,1542668.0,392,670731.0,,,,,,,,
4949,002221,UNIVERSITY OF MASSACHUSETTS - AMHERST,AMHERST,MA,1003,Public,Unsubsidized - Undergraduate,8887,9037,35749703.0,9037,18496802.0,,,,,,,,
4952,002161,UNIVERSITY OF MASSACHUSETTS - LOWELL,LOWELL,MA,1854,Public,Unsubsidized - Undergraduate,5464,5495,24808218.0,5532,12551891.0,,,,,,,,
4954,002222,UNIVERSITY OF MASSACHUSETTS AT BOSTON,BOSTON,MA,2125,Public,Unsubsidized - Undergraduate,4437,4473,17937389.0,4480,9053702.0,,,,,,,,
4957,002210,UNIVERSITY OF MASSACHUSETTS AT DARTMOUTH,NORTH DARTMOUTH,MA,2747,Public,Unsubsidized - Undergraduate,2592,2660,10625515.0,2660,5381646.0,,,,,,,,
4962,002233,WORCESTER POLYTECHNIC INST,WORCESTER,MA,1609,Private-Nonprofit,Unsubsidized - Undergraduate,2059,2066,7270861.0,2066,3651807.0,,,,,,,,
4968,022316,MGH INSTITUTE OF HEALTH PROFESSIONS,,MA,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,48,48,386797.0,48,193399.0,,,,,,,,
4976,002118,ASSUMPTION UNIVERSITY,WORCESTER,MA,1615,Private-Nonprofit,Unsubsidized - Undergraduate,1189,1189,4738134.0,1189,2367445.0,,,,,,,,
4979,002178,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,2139,Private-Nonprofit,Unsubsidized - Undergraduate,121,121,626509.0,121,319462.0,,,,,,,,
4981,002123,BECKER COLLEGE,WORCESTER,MA,1615,Private-Nonprofit,Unsubsidized - Undergraduate,889,889,3695377.0,889,1856944.0,,,,,,,,
4986,006324,LABOURE COLLEGE,MILTON,MA,2126,Private-Nonprofit,Unsubsidized - Undergraduate,675,718,4140965.0,718,2014572.0,,,,,,,,
4988,002187,MASSACHUSETTS COLLEGE OF LIBERAL ARTS,NORTH ADAMS,MA,1247,Public,Unsubsidized - Undergraduate,628,661,2273252.0,661,1157143.0,,,,,,,,
4997,002150,FISHER COLLEGE - BOSTON,BOSTON,MA,2116,Private-Nonprofit,Unsubsidized - Undergraduate,270,286,858345.0,286,429173.0,,,,,,,,
5003,006331,"LAWRENCE MEMORIAL HOSPITAL, SCHOOL OF NURSING",MEDFORD,MA,2155,Private-Nonprofit,Unsubsidized - Undergraduate,226,226,1294213.0,271,726515.0,,,,,,,,
5004,002290,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,48824,Public,Unsubsidized - Undergraduate,9791,10424,35679987.0,10424,19420331.0,,,,,,,,
5005,002325,UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,48109,Public,Unsubsidized - Undergraduate,6236,6247,22393960.0,6290,11499754.0,,,,,,,,
5007,002268,GRAND VALLEY ST UNIVERSITY,ALLENDALE,MI,49401,Public,Unsubsidized - Undergraduate,8621,8926,38283203.0,8926,19510703.0,,,,,,,,
5014,002314,SAGINAW VALLEY STATE UNIVERSITY,UNIVERSITY CENTER,MI,48710,Public,Unsubsidized - Undergraduate,2531,2653,10885139.0,2653,5482795.0,,,,,,,,
5015,002327,UNIVERSITY OF MICHIGAN - FLINT,FLINT,MI,48502,Public,Unsubsidized - Undergraduate,1736,1752,8875300.0,1752,4684758.0,,,,,,,,
5019,002326,UNIVERSITY OF MICHIGAN - DEARBORN,DEARBORN,MI,48128,Public,Unsubsidized - Undergraduate,1439,1507,6151710.0,1507,3605542.0,,,,,,,,
5048,006768,MID MICHIGAN COLLEGE,HARRISON,MI,48625,Public,Unsubsidized - Undergraduate,491,491,2238000.0,491,1113786.0,,,,,,,,
5052,004071,WALSH COLLEGE OF ACCOUNTANCY & BUSINESS ADMINISTRATION,TROY,MI,48007,Private-Nonprofit,Unsubsidized - Undergraduate,68,68,377478.0,68,116151.0,,,,,,,,
5053,002294,MONROE COUNTY COMMUNITY COLLGE,MONROE,MI,48161,Public,Unsubsidized - Undergraduate,301,301,1557456.0,301,760969.0,,,,,,,,
5064,003969,UNIVERSITY OF MINNESOTA - TWIN CITIES,MINNEAPOLIS,MN,55455,Public,Unsubsidized - Undergraduate,8446,8544,37741103.0,8544,19584303.0,,,,,,,,
5065,008694,RASMUSSEN COLLEGE,SAINT CLOUD,MN,56301,Proprietary,Unsubsidized - Undergraduate,7306,7526,34381208.0,7526,14515092.0,,,,,,,,
5068,002388,UNIVERSITY OF MINNESOTA DULUTH,DULUTH,MN,55812,Public,Unsubsidized - Undergraduate,3291,3344,14233957.0,3344,7286299.0,,,,,,,,
5069,002347,CONCORDIA UNIVERSITY - SAINT PAUL,SAINT PAUL,MN,55104,Private-Nonprofit,Unsubsidized - Undergraduate,1301,1318,7342731.0,1322,2813778.0,,,,,,,,
5070,002380,SAINT MARY'S UNIVERSITY OF MINNESOTA,WINONA,MN,55987,Private-Nonprofit,Unsubsidized - Undergraduate,488,495,2039456.0,495,957596.0,,,,,,,,
5073,002377,ST. CLOUD STATE UNIVERSITY,SAINT CLOUD,MN,56301,Public,Unsubsidized - Undergraduate,2079,2168,9487758.0,2168,5099857.0,,,,,,,,
5080,002343,COLLEGE OF SAINT SCHOLASTICA,DULUTH,MN,55811,Private-Nonprofit,Unsubsidized - Undergraduate,821,845,3643080.0,845,1839851.0,,,,,,,,
5082,011732,MAYO CLINIC COLLEGE OF MEDICINE AND SCIENCE,,MN,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,41,42,261329.0,42,113285.0,,,,,,,,
5083,012328,NORTHWESTERN HEALTH SCIENCES UNIVERSITY,BLOOMINGTON,MN,55431,Private-Nonprofit,Unsubsidized - Undergraduate,84,86,527951.0,86,274075.0,,,,,,,,
5087,002362,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE,MINNEAPOLIS,MN,55403,Public,Unsubsidized - Undergraduate,1065,1123,5939227.0,1123,2973455.0,,,,,,,,
5088,002346,CONCORDIA COLLEGE - MOORHEAD,MOORHEAD,MN,56562,Private-Nonprofit,Unsubsidized - Undergraduate,1111,1141,4096304.0,1148,2080216.0,,,,,,,,
5091,005541,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,FERGUS FALLS,MN,56537,Public,Unsubsidized - Undergraduate,1022,1071,4854748.0,1071,2393931.0,,,,,,,,
5092,002332,ANOKA-RAMSEY COMMUNITY COLLEGE,COON RAPIDS,MN,55433,Public,Unsubsidized - Undergraduate,1018,1070,4959408.0,1070,2575722.0,,,,,,,,
5094,005534,ST. CLOUD TECHNICAL AND COMMUNITY COLLEGE,SAINT CLOUD,MN,56303,Public,Unsubsidized - Undergraduate,936,967,4749986.0,967,2429944.0,,,,,,,,
5096,002373,ROCHESTER COMMUNITY AND TECHNICAL COLLEGE,ROCHESTER,MN,55904,Public,Unsubsidized - Undergraduate,869,901,4189616.0,901,2096430.0,,,,,,,,
5099,005533,SAINT PAUL COLLEGE - A COMMUNITY & TECHNICAL COLLEGE,ST PAUL,MN,55102,Public,Unsubsidized - Undergraduate,713,726,4005252.0,726,2005796.0,,,,,,,,
5101,004069,UNIVERSITY OF MINNESOTA - CROOKSTON,CROOKSTON,MN,56716,Public,Unsubsidized - Undergraduate,649,693,3707210.0,693,1914138.0,,,,,,,,
5113,002417,MISSISSIPPI GULF COAST COMMUNITY COLLEGE,PERKINSTON,MS,39573,Public,Unsubsidized - Undergraduate,1212,1212,5430179.0,1213,2733782.0,,,,,,,,
5114,002422,MISSISSIPPI UNIVERSITY FOR WOMEN,COLUMBUS,MS,39701,Public,Unsubsidized - Undergraduate,714,743,3560685.0,743,1715834.0,,,,,,,,
5118,002426,NORTHEAST MISSISSIPPI COMMUNITY COLLEGE,BOONEVILLE,MS,38829,Public,Unsubsidized - Undergraduate,344,347,1543222.0,347,771321.0,,,,,,,,
5120,002427,NORTHWEST MISSISSIPPI COMMUNITY COLLEGE,SENATOBIA,MS,38668,Public,Unsubsidized - Undergraduate,390,397,1477160.0,397,740248.0,,,,,,,,
5125,002482,MARYVILLE UNIVERSITY OF SAINT LOUIS,ST LOUIS,MO,63141,Private-Nonprofit,Unsubsidized - Undergraduate,2358,2429,11696734.0,2429,4698389.0,,,,,,,,
5127,002518,UNIVERSITY OF MISSOURI - KANSAS CITY,KANSAS CITY,MO,64110,Public,Unsubsidized - Undergraduate,1879,1980,8854265.0,1980,4568477.0,,,,,,,,
5130,002520,WASHINGTON UNIVERSITY IN ST. LOUIS,ST LOUIS,MO,63130,Private-Nonprofit,Unsubsidized - Undergraduate,712,729,2229109.0,729,1138495.0,,,,,,,,
5132,002519,UNIVERSITY OF MISSOURI - SAINT LOUIS,ST LOUIS,MO,63121,Public,Unsubsidized - Undergraduate,1905,1974,9653143.0,1974,5151986.0,,,,,,,,
5133,002496,NORTHWEST MISSOURI STATE UNIVERSITY,MARYVILLE,MO,64468,Public,Unsubsidized - Undergraduate,2163,2296,8223632.0,2296,4216129.0,,,,,,,,
5134,002501,SOUTHEAST MISSOURI STATE UNIVERSITY,CAPE GIRARDEAU,MO,63701,Public,Unsubsidized - Undergraduate,2656,2870,11545503.0,2870,6008706.0,,,,,,,,
5137,002517,MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,ROLLA,MO,65409,Public,Unsubsidized - Undergraduate,1849,1929,7912987.0,1929,4019009.0,,,,,,,,
5149,002504,UNIVERSITY OF HEALTH SCIENCES AND PHARMACY IN ST. LOUIS,ST LOUIS,MO,63110,Private-Nonprofit,Unsubsidized - Undergraduate,163,167,522966.0,167,260393.0,,,,,,,,
5153,002460,CULVER-STOCKTON COLLEGE,CANTON,MO,63435,Private-Nonprofit,Unsubsidized - Undergraduate,639,716,2322886.0,716,1196336.0,,,,,,,,
5154,020682,COX COLLEGE,,MO,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,376,376,2153444.0,376,1161368.0,,,,,,,,
5165,002485,MIDWESTERN BAPTIST THEOLOGICAL SEMINARY,KANSAS CITY,MO,64118,Private-Nonprofit,Unsubsidized - Undergraduate,137,137,606965.0,139,324918.0,,,,,,,,
5168,002471,SAINT LOUIS COMMUNITY COLLEGE,,MO,NaN,Public,Unsubsidized - Undergraduate,447,447,1419346.0,455,704105.0,,,,,,,,
5173,006389,GOLDFARB SCHOOL OF NURSING AT BARNES-JEWISH COLLEGE,SAINT LOUIS,MO,63110,Private-Nonprofit,Unsubsidized - Undergraduate,136,137,623239.0,137,318669.0,,,,,,,,
5186,002533,MONTANA STATE UNIVERSITY - NORTHERN,HAVRE,MT,59501,Public,Unsubsidized - Undergraduate,252,259,1137182.0,259,563956.0,,,,,,,,
5188,002565,UNIVERSITY OF NEBRASKA,LINCOLN,NE,68588,Public,Unsubsidized - Undergraduate,5091,5367,21272990.0,5367,10968871.0,,,,,,,,
5189,006895,UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,Public,Unsubsidized - Undergraduate,337,346,1498544.0,346,817868.0,,,,,,,,
5191,002554,UNIVERSITY OF NEBRASKA AT OMAHA,OMAHA,NE,68182,Public,Unsubsidized - Undergraduate,2484,2563,11853330.0,2563,6185324.0,,,,,,,,
5192,002551,UNIVERSITY OF NEBRASKA - KEARNEY,KEARNEY,NE,68849,Public,Unsubsidized - Undergraduate,1170,1227,5087151.0,1227,2666585.0,,,,,,,,
5194,002540,COLLEGE OF SAINT MARY,OMAHA,NE,68106,Private-Nonprofit,Unsubsidized - Undergraduate,352,356,1516842.0,356,766235.0,,,,,,,,
5197,025083,SOUTHEAST COMMUNITY COLLEGE,,NE,NaN,Public,Unsubsidized - Undergraduate,1109,1117,4871570.0,1117,1814385.0,,,,,,,,
5201,006404,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,,NE,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,484,493,2270467.0,493,1314129.0,,,,,,,,
5204,002569,UNIVERSITY OF NEVADA - LAS VEGAS,LAS VEGAS,NV,89154,Public,Unsubsidized - Undergraduate,4265,4355,19357160.0,4362,9970098.0,,,,,,,,
5205,002568,"UNIVERSITY OF NEVADA , RENO",RENO,NV,89557,Public,Unsubsidized - Undergraduate,3427,3771,14809019.0,3771,7639941.0,,,,,,,,
5208,002591,PLYMOUTH STATE UNIVERSITY OF THE UNIVERSITY SYSTEM OF NEW HAMPSHIRE,PLYMOUTH,NH,3264,Public,Unsubsidized - Undergraduate,2647,2647,9662347.0,2647,4918370.0,,,,,,,,
5216,002629,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NEW BRUNS-NEWARK-CAMDEN,NJ,8901,Public,Unsubsidized - Undergraduate,13560,13668,51640285.0,13674,25931223.0,,,,,,,,
5222,002621,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEWARK,NJ,7102,Public,Unsubsidized - Undergraduate,1953,1986,7752749.0,1986,4188527.0,,,,,,,,
5230,002610,FELICIAN UNIVERSITY,LODI,NJ,7644,Private-Nonprofit,Unsubsidized - Undergraduate,761,761,3320104.0,761,1592912.0,,,,,,,,
5232,002600,SAINT ELIZABETH UNIVERSITY,MORRISTOWN,NJ,7960,Private-Nonprofit,Unsubsidized - Undergraduate,436,436,1344376.0,436,686038.0,,,,,,,,
5240,002651,EASTERN NEW MEXICO UNIVERSITY,PORTALES,NM,88130,Public,Unsubsidized - Undergraduate,611,619,3590749.0,619,1790513.0,,,,,,,,
5245,002654,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,SOCORRO,NM,87801,Public,Unsubsidized - Undergraduate,267,268,1162736.0,268,612035.0,,,,,,,,
5247,002093,SAINT JOHN'S COLLEGE,SANTA FE,NM,87505,Private-Nonprofit,Unsubsidized - Undergraduate,100,101,372531.0,101,186264.0,,,,,,,,
5250,002707,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,NEW YORK,NY,10027,Private-Nonprofit,Unsubsidized - Undergraduate,638,659,3708735.0,659,1903615.0,,,,,,,,
5251,002837,STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NY,14260,Public,Unsubsidized - Undergraduate,5801,5963,21556559.0,5963,10961452.0,,,,,,,,
5254,002722,FORDHAM UNIVERSITY - ROSE HILL CAMPUS,BRONX,NY,10458,Private-Nonprofit,Unsubsidized - Undergraduate,3264,3326,13026564.0,3326,6565292.0,,,,,,,,
5258,002838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,STONY BROOK,NY,11794,Public,Unsubsidized - Undergraduate,3435,3612,12858108.0,3612,6576021.0,,,,,,,,
5261,002791,PACE UNIVERSITY,NEW YORK,NY,10038,Private-Nonprofit,Unsubsidized - Undergraduate,2639,2767,9698225.0,2767,5029442.0,,,,,,,,
5264,002836,BINGHAMTON UNIVERSITY,BINGHAMTON,NY,13902,Public,Unsubsidized - Undergraduate,4168,4506,16192510.0,4521,8166103.0,,,,,,,,
5265,002835,STATE UNIVERSITY OF NEW YORK AT ALBANY,ALBANY,NY,12222,Public,Unsubsidized - Undergraduate,3694,3798,13446030.0,3798,6755982.0,,,,,,,,
5268,002839,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER,BROOKLYN,NY,11203,Public,Unsubsidized - Undergraduate,11,11,71951.0,11,35976.0,,,,,,,,
5269,002843,SUNY COLLEGE AT CORTLAND,CORTLAND,NY,13045,Public,Unsubsidized - Undergraduate,3315,3316,12330719.0,3334,6303573.0,,,,,,,,
5270,020662,"NEW SCHOOL, THE",,NY,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,1046,1046,3585022.0,1049,1820004.0,,,,,,,,
5271,002689,CUNY HUNTER COLLEGE,NEW YORK,NY,10021,Public,Unsubsidized - Undergraduate,403,410,1669605.0,478,946719.0,,,,,,,,
5273,002841,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,BROCKPORT,NY,14420,Public,Unsubsidized - Undergraduate,2480,2717,10095090.0,2717,5125583.0,,,,,,,,
5277,002848,STATE UNIVERSITY OF NEW YORK AT OSWEGO,OSWEGO,NY,13126,Public,Unsubsidized - Undergraduate,2362,2496,9522029.0,2503,4940963.0,,,,,,,,
5285,002847,"STATE UNIVERSITY OF NEW YORK, COLLEGE AT ONEONTA",ONEONTA,NY,13820,Public,Unsubsidized - Undergraduate,2565,2567,9378923.0,2578,4760734.0,,,,,,,,
5286,002842,SUNY COLLEGE AT BUFFALO,BUFFALO,NY,14222,Public,Unsubsidized - Undergraduate,2081,2139,7782961.0,2139,3938705.0,,,,,,,,
5290,010286,SUNY EMPIRE STATE COLLEGE,SARATOGA SPRINGS,NY,12866,Public,Unsubsidized - Undergraduate,1733,1763,10629985.0,1763,5368964.0,,,,,,,,
5291,002849,STATE UNIVERSITY OF NEW YORK COLLEGE AT PLATTSBURGH,PLATTSBURGH,NY,12901,Public,Unsubsidized - Undergraduate,2050,2100,7817568.0,2100,3967509.0,,,,,,,,
5297,002855,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON,CANTON,NY,13617,Public,Unsubsidized - Undergraduate,1759,1760,7703510.0,1761,3969483.0,,,,,,,,
5298,002846,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,NEW PALTZ,NY,12561,Public,Unsubsidized - Undergraduate,1574,1646,6303586.0,1646,3197655.0,,,,,,,,
5299,007273,CUNY BERNARD M. BARUCH COLLEGE,NEW YORK,NY,10010,Public,Unsubsidized - Undergraduate,468,486,2139101.0,530,1146269.0,,,,,,,,
5301,002854,SUNY COLLEGE OF TECHNOLOGY AT ALFRED,ALFRED,NY,14802,Public,Unsubsidized - Undergraduate,2009,2012,6928803.0,2012,3497408.0,,,,,,,,
5303,002840,STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,13210,Public,Unsubsidized - Undergraduate,87,87,504024.0,87,222962.0,,,,,,,,
5306,002748,LE MOYNE COLLEGE,SYRACUSE,NY,13214,Private-Nonprofit,Unsubsidized - Undergraduate,1340,1343,4857707.0,1343,2516678.0,,,,,,,,
5312,007022,CUNY LEHMAN COLLEGE,BRONX,NY,10468,Public,Unsubsidized - Undergraduate,391,405,1610727.0,537,998216.0,,,,,,,,
5314,002859,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT MORRISVILLE,MORRISVILLE,NY,13408,Public,Unsubsidized - Undergraduate,1063,1063,3952927.0,1085,1961653.0,,,,,,,,
5315,002693,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,NEW YORK,NY,10019,Public,Unsubsidized - Undergraduate,209,212,904724.0,243,507529.0,,,,,,,,
5316,002817,ST. BONAVENTURE UNIVERSITY,SAINT BONAVENTURE,NY,14778,Private-Nonprofit,Unsubsidized - Undergraduate,1127,1169,3996545.0,1169,2002863.0,,,,,,,,
5317,002845,SUNY COLLEGE AT GENESEO,GENESEO,NY,14454,Public,Unsubsidized - Undergraduate,1281,1328,5016334.0,1328,2542512.0,,,,,,,,
5318,002713,DOMINICAN COLLEGE OF BLAUVELT,ORANGEBURG,NY,10962,Private-Nonprofit,Unsubsidized - Undergraduate,826,880,3258364.0,880,1602662.0,,,,,,,,
5319,004765,CUNY GRADUATE SCHOOL & UNIVERSITY CENTER,NEW YORK,NY,10016,Public,Unsubsidized - Undergraduate,3,3,13308.0,3,6654.0,,,,,,,,
5320,002687,CUNY BROOKLYN COLLEGE,BROOKLYN,NY,11210,Public,Unsubsidized - Undergraduate,481,505,1875275.0,645,1133862.0,,,,,,,,
5321,006791,SUNY COLLEGE AT PURCHASE,PURCHASE,NY,10577,Public,Unsubsidized - Undergraduate,911,926,3475159.0,926,1801359.0,,,,,,,,
5323,002850,STATE UNIVERSITY OF NEW YORK COLLEGE AT POTSDAM,POTSDAM,NY,13676,Public,Unsubsidized - Undergraduate,1175,1201,4259287.0,1201,2154445.0,,,,,,,,
5324,002885,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,ALBANY,NY,12208,Private-Nonprofit,Unsubsidized - Undergraduate,427,430,1532545.0,430,769037.0,,,,,,,,
5332,002857,SUNY COLLEGE OF TECHNOLOGY AT DELHI,DELHI,NY,13753,Public,Unsubsidized - Undergraduate,1002,1005,3971384.0,1005,2008710.0,,,,,,,,
5334,002690,CUNY QUEENS COLLEGE,FLUSHING,NY,11367,Public,Unsubsidized - Undergraduate,396,404,1485121.0,473,857136.0,,,,,,,,
5335,002731,HOBART AND WILLIAM SMITH COLLEGES,GENEVA,NY,14456,Private-Nonprofit,Unsubsidized - Undergraduate,947,947,3586700.0,947,1800413.0,,,,,,,,
5339,002856,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT COBLESKILL,COBLESKILL,NY,12043,Public,Unsubsidized - Undergraduate,774,780,2605350.0,781,1296300.0,,,,,,,,
5340,002688,CITY COLLEGE OF NEW YORK - CUNY,NEW YORK,NY,10031,Public,Unsubsidized - Undergraduate,161,163,605880.0,196,350992.0,,,,,,,,
5344,011678,STATE UNIVERSITY OF NEW YORK POLYTECHNIC INSTITUTE,UTICA,NY,13502,Public,Unsubsidized - Undergraduate,556,570,2343532.0,1136,1172146.0,,,,,,,,
5348,007572,AMERICAN MUSICAL & DRAMATIC ACADEMY,,NY,NaN,Private-Nonprofit,Unsubsidized - Undergraduate,228,230,598725.0,230,327233.0,,,,,,,,
5350,002708,BARNARD COLLEGE,NEW YORK,NY,10027,Private-Nonprofit,Unsubsidized - Undergraduate,95,99,335141.0,99,167570.0,,,,,,,,
5354,007109,SUNY COLLEGE AT OLD WESTBURY,OLD WESTBURY,NY,11568,Public,Unsubsidized - Undergraduate,494,500,2143162.0,509,1167910.0,,,,,,,,
5358,002878,SUFFOLK COUNTY COMMUNITY COLLEGE,SELDEN,NY,11784,Public,Unsubsidized - Undergraduate,988,989,3265444.0,995,1969404.0,,,,,,,,
5360,002851,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY,SYRACUSE,NY,13210,Public,Unsubsidized - Undergraduate,419,428,1808803.0,428,929320.0,,,,,,,,
5362,010684,ERIE COMMUNITY COLLEGE,BUFFALO,NY,14203,Public,Unsubsidized - Undergraduate,712,727,2767249.0,748,1385174.0,,,,,,,,
