index,OPE ID_x,School_x,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,School,Address,City,StateCode,ZipCode,Province,Country,PostalCode
2885,005339,METRO TECHNOLOGY CENTERS SCHOOL DISTRICT #22,,OK,NaN,Public,Subsidized,8,8,27883.0,8,13942.0,,,,,,,,,
2886,023069,IOWA SCHOOL OF BEAUTY,,IA,NaN,Proprietary,Subsidized,7,7,26643.0,7,13322.0,016306,IOWA SCHOOL OF BEAUTY,609 W 2ND ST,OTTUMWA,IA,52501.0,,,
2886,023069,IOWA SCHOOL OF BEAUTY,,IA,NaN,Proprietary,Subsidized,7,7,26643.0,7,13322.0,034413,IOWA SCHOOL OF BEAUTY,3320 LINE DRIVE,SIOUX CITY,IA,51106.0,,,
2888,021440,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,9,9,24500.0,11,14000.0,014997,BEAUTY INSTITUTE (THE),1921 UNION BOULEVARD,ALLENTOWN,PA,18109.0,,,
2888,021440,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,9,9,24500.0,11,14000.0,015603,BEAUTY INSTITUTE (THE),50 EAST BUTLER PIKE,AMBLER,PA,19002.0,,,
2888,021440,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,9,9,24500.0,11,14000.0,015604,BEAUTY INSTITUTE (THE),100 N 8TH STREET,STROUDSBURG,PA,18360.0,,,
2889,025685,GRABBER SCHOOL OF HAIR DESIGN,,MO,NaN,Proprietary,Subsidized,19,19,61064.0,20,31994.0,017279,GRABBER SCHOOL OF HAIR DESIGN,9833 WATSON ROAD,ST. LOUIS,MO,63126.0,,,
2890,022345,BOISE BIBLE COLLEGE,,ID,NaN,Private-Nonprofit,Subsidized,18,18,69768.0,18,34306.0,015783,BOISE BIBLE COLLEGE,8695 W MARIGOLD ST,BOISE,ID,83714.0,,,
2892,009043,ELMIRA BUSINESS INSTITUTE,VESTAL,NY,13850,Proprietary,Subsidized,13,13,34875.0,13,21501.0,,,,,,,,,
2893,025488,SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE,,TX,NaN,Proprietary,Subsidized,124,125,347750.0,156,144210.0,,,,,,,,,
2900,022359,ACADEMY OF HAIR DESIGN # 4,,MS,NaN,Proprietary,Subsidized,6,6,18000.0,6,9000.0,,,,,,,,,
2901,023427,FORTIS COLLEGE,,VA,NaN,Proprietary,Subsidized,112,112,353546.0,129,144425.0,,,,,,,,,
2909,004233,ST LUKES METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,,IA,NaN,Private-Nonprofit,Subsidized,7,7,21439.0,12,15275.0,,,,,,,,,
2914,021111,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE RICH MOUNTAIN,,AR,NaN,Public,Subsidized,66,66,242888.0,68,121608.0,,,,,,,,,
2917,023413,PALO ALTO COLLEGE,,TX,NaN,Public,Subsidized,96,98,354851.0,98,177542.0,016615,PALO ALTO COLLEGE,1400 W. VILLARET,SAN ANTONIO,TX,78224.0,,,
2921,023363,KNOX COUNTY CAREER CENTER,,OH,NaN,Public,Subsidized,28,28,89447.0,28,34327.0,016558,KNOX COUNTY CAREER CENTER,306 MARTINSBURG ROAD,MOUNT VERNON,OH,43050.0,,,
2923,023355,THEOLOGICAL UNIVERSITY OF THE CARIBBEAN,,PR,NaN,Private-Nonprofit,Subsidized,16,16,69500.0,16,29499.0,,,,,,,,,
2924,021662,ITI TECHNICAL COLLEGE,,LA,NaN,Proprietary,Subsidized,126,126,428467.0,134,159193.0,015270,ITI TECHNICAL COLLEGE,13944 AIRLINE HWY,BATON ROUGE,LA,70817.0,,,
2925,008129,ADULT AND COMMUNITY EDUCATION @HUDSON,,OH,NaN,Public,Subsidized,37,37,96717.0,60,73859.0,,,,,,,,,
2926,025600,CASAL AVEDA INSTITUTE,,OH,NaN,Proprietary,Subsidized,29,29,91115.0,29,45551.0,017193,CASAL AVEDA INSTITUTE,6000 MAHONING AVENUE,AUSTINTOWN,OH,44515.0,,,
2929,023379,COLLEGE OF HAIR DESIGN CAREERS,,OR,NaN,Proprietary,Subsidized,2,2,8000.0,2,4000.0,016618,COLLEGE OF HAIR DESIGN CAREERS,1684 CLAY ST NE,SALEM,OR,97301.0,,,
2933,023388,EMILY CARR UNIVERSITY OF ART AND DESIGN,,,NaN,Foreign-Public,Subsidized,4,4,19000.0,4,9500.0,,,,,,,,,
2935,020848,RAVENSCROFT BEAUTY COLLEGE,,IN,NaN,Proprietary,Subsidized,26,26,79200.0,29,43383.0,014273,RAVENSCROFT BEAUTY COLLEGE,4530 LAHMEYER ROAD,FORT WAYNE,IN,46835.0,,,
2937,011735,PIKE LINCOLN TECHNICAL CENTER,,MO,NaN,Public,Subsidized,22,22,77000.0,22,38500.0,,,,,,,,,
2939,030108,FORTIS INSTITUTE,,AL,NaN,Proprietary,Subsidized,89,89,259282.0,103,108030.0,,,,,,,,,
2940,023411,KENNETH SHULER SCHOOL OF COSMETOLOGY & NAILS,,SC,NaN,Proprietary,Subsidized,62,62,183883.0,62,92806.0,,,,,,,,,
2949,022825,LENAPE TECHNICAL SCHOOL,,PA,NaN,Public,Subsidized,13,13,34890.0,13,19340.0,016100,LENAPE TECHNICAL SCHOOL,2215 CHAPLIN AVENUE,FORD CITY,PA,16226.0,,,
2950,020661,OHIO STATE COLLEGE OF BARBER STYLING,,OH,NaN,Proprietary,Subsidized,32,32,104974.0,32,52487.0,,,,,,,,,
2951,023372,PJ'S COLLEGE OF COSMETOLOGY,,KY,NaN,Proprietary,Subsidized,21,21,68015.0,21,34005.0,016552,PJ'S COLLEGE OF COSMETOLOGY,WESTERN GATEWAY SHOPPING CTR,BOWLING GREEN,KY,42101.0,,,
2951,023372,PJ'S COLLEGE OF COSMETOLOGY,,KY,NaN,Proprietary,Subsidized,21,21,68015.0,21,34005.0,017103,PJ'S COLLEGE OF COSMETOLOGY,920 HAPPY VALLEY ROAD,GLASGOW,KY,42141.0,,,
2952,023518,UNIVERSIDAD IBEROAMERICANA (UNIBE),,,NaN,Foreign-Private,Subsidized,2,2,9000.0,2,4500.0,,,,,,,,,
2953,023521,UNIVERSITY OF PLYMOUTH,,,NaN,Foreign-Public,Subsidized,6,6,26000.0,6,8667.0,,,,,,,,,
2957,006612,COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,,TX,NaN,Private-Nonprofit,Subsidized,158,158,315470.0,158,315470.0,,,,,,,,,
2958,021400,RIVERSIDE COLLEGE OF HEALTH CAREERS,,VA,NaN,Private-Nonprofit,Subsidized,69,71,198371.0,71,125876.0,014108,RIVERSIDE COLLEGE OF HEALTH CAREERS,"606 DENBIGH BOULEVARD, SUITE 500",NEWPORT NEWS,VA,23608.0,,,
2967,010055,CRAWFORD COUNTY CAREER & TECHNICAL CENTER,,PA,NaN,Public,Subsidized,10,10,35000.0,10,17500.0,,,,,,,,,
2968,025212,ARLINGTON CAREER INSTITUTE,,TX,NaN,Proprietary,Subsidized,93,99,301434.0,163,169467.0,016944,ARLINGTON CAREER INSTITUTE,901 AVENUE K,GRAND PRAIRIE,TX,75050.0,,,
2969,023417,CAREER ACADEMY OF HAIR DESIGN,,AR,NaN,Proprietary,Subsidized,32,32,88246.0,34,48263.0,016596,CAREER ACADEMY OF HAIR DESIGN,346 EAST ROBINSON AVE,SPRINGDALE,AR,72764.0,,,
2972,024600,UNIVERSITY OF PUERTO RICO - MEDICAL SCIENCE CAMPUS,,PR,NaN,Public,Subsidized,33,33,164700.0,33,81300.0,,,,,,,,,
2978,022897,JOLIE HEALTH AND BEAUTY ACADEMY,,PA,NaN,Proprietary,Subsidized,13,13,27992.0,14,14873.0,015379,JOLIE HEALTH AND BEAUTY ACADEMY,1057A NORTH CHURCH STREET,HAZLETON,PA,18202.0,,,
2978,022897,JOLIE HEALTH AND BEAUTY ACADEMY,,PA,NaN,Proprietary,Subsidized,13,13,27992.0,14,14873.0,016160,JOLIE HEALTH AND BEAUTY ACADEMY,125 NORTH WILKES BARRE BOULEVARD,WILKES BARRE,PA,18702.0,,,
2982,024926,EASTERN CENTER FOR ARTS AND TECHNOLOGY-PRACTICAL NURSING,,PA,NaN,Public,Subsidized,8,8,23850.0,8,11925.0,,,,,,,,,
2983,023130,CASS CAREER CENTER,,MO,NaN,Public,Subsidized,21,21,71700.0,21,35850.0,016354,CASS CAREER CENTER,1600 EAST ELM ST,HARRISONVILLE,MO,64701.0,,,
2986,022554,TONI&GUY HAIRDRESSING ACADEMY,,CA,NaN,Proprietary,Subsidized,32,32,102733.0,32,54200.0,014552,TONI&GUY HAIRDRESSING ACADEMY,464 N. FAIRFAX AVE,LOS ANGELES,CA,90036.0,,,
2989,025054,ATLANTIC UNIVERSITY COLLEGE,,PR,NaN,Private-Nonprofit,Subsidized,29,29,105426.0,29,37236.0,,,,,,,,,
2990,020797,COLLEGE OF HAIR DESIGN,,NE,NaN,Proprietary,Subsidized,16,16,60380.0,16,30192.0,014176,COLLEGE OF HAIR DESIGN,304 S 11TH STREET,LINCOLN,NE,68508.0,,,
2991,022443,MISSISSIPPI BARBER ACADEMY,,MS,NaN,Proprietary,Subsidized,5,5,15000.0,5,7500.0,014397,MISSISSIPPI BARBER ACADEMY,5420 I-55 FRONTAGE ROAD NORTH,JACKSON,MS,39211.0,,,
2995,025227,EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS,,OH,NaN,Public,Subsidized,28,28,92008.0,28,46004.0,,,,,,,,,
2998,005438,SALINE COUNTY CAREER CENTER,,MO,NaN,Public,Subsidized,18,18,56862.0,18,28432.0,015639,SALINE COUNTY CAREER CENTER,900 WEST VEST,MARSHALL,MO,65340.0,,,
3002,010710,CAPITAL AREA CAREER CENTER,,IL,NaN,Public,Subsidized,18,18,54209.0,18,27105.0,,,,,,,,,
3003,022751,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,102,102,336767.0,121,144666.0,014016,CONCORDE CAREER INSTITUTE,7259 SALISBURY ROAD,JACKSONVILLE,FL,32256.0,,,
3003,022751,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,102,102,336767.0,121,144666.0,015307,CONCORDE CAREER INSTITUTE,4202 W. SPRUCE ST,TAMPA,FL,33607.0,,,
3003,022751,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,102,102,336767.0,121,144666.0,016050,CONCORDE CAREER INSTITUTE,10933 MARK'S WAY,MIRAMAR,FL,33025.0,,,
3012,022540,NEW ENGLAND CULINARY INSTITUTE,,VT,NaN,Proprietary,Subsidized,1,1,5500.0,1,2750.0,015904,NEW ENGLAND CULINARY INSTITUTE,7 SCHOOL STREET,MONTPELIER,VT,5602.0,,,
3015,025340,NATIONAL UNIVERSITY OF NATURAL MEDICINE,,OR,NaN,Private-Nonprofit,Subsidized,18,19,94875.0,22,36204.0,B07624,NATIONAL UNIVERSITY OF NATURAL MEDICINE,049 SOUTHWEST PORTER STREET,PORTLAND,OR,97201.0,,,
3016,025383,DELTA COLLEGE OF ARTS & TECHNOLOGY,,LA,NaN,Proprietary,Subsidized,64,64,216373.0,66,111373.0,,,,,,,,,
3019,025385,ARTHUR'S BEAUTY COLLEGE,,AR,NaN,Proprietary,Subsidized,24,24,78900.0,25,41650.0,015099,ARTHUR'S BEAUTY COLLEGE,2000 NORTH B STREET,FORT SMITH,AR,72901.0,,,
3019,025385,ARTHUR'S BEAUTY COLLEGE,,AR,NaN,Proprietary,Subsidized,24,24,78900.0,25,41650.0,017020,ARTHUR'S BEAUTY COLLEGE,2600 JOHN HARDEN DR,JACKSONVILLE,AR,72076.0,,,
3022,008843,ALASKA BIBLE COLLEGE,,AK,NaN,Private-Nonprofit,Subsidized,5,5,20800.0,5,8650.0,014325,ALASKA BIBLE COLLEGE,248 EAST ELMWOOD AVENUE,PALMER,AK,99645.0,,,
3024,025419,BJ'S BEAUTY & BARBER COLLEGE,,WA,NaN,Proprietary,Subsidized,1,1,3500.0,1,1750.0,,,,,,,,,
3027,020739,WOR-WIC COMMUNITY COLLEGE,,MD,NaN,Public,Subsidized,8,8,14000.0,8,14000.0,013842,WOR-WIC COMMUNITY COLLEGE,32000 CAMPUS DRIVE,SALISBURY,MD,21804.0,,,
3028,025457,GLASGOW SCHOOL OF ART,,,NaN,Foreign-Public,Subsidized,4,4,19000.0,4,9500.0,,,,,,,,,
3030,022904,ALTOONA BEAUTY SCHOOL,,PA,NaN,Proprietary,Subsidized,14,14,30292.0,17,17736.0,,,,,,,,,
3033,023577,PAUL MITCHELL THE SCHOOL HOUSTON,,TX,NaN,Proprietary,Subsidized,66,66,215056.0,66,107527.0,016749,PAUL MITCHELL THE SCHOOL HOUSTON,10516 KATY FREEWAY,HOUSTON,TX,77043.0,,,
3034,023408,PAUL MITCHELL THE SCHOOL LEXINGTON,,KY,NaN,Proprietary,Subsidized,18,18,60000.0,20,33000.0,016591,PAUL MITCHELL THE SCHOOL LEXINGTON,3644 BOSTON RD.,LEXINGTON,KY,40514.0,,,
3036,025630,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,,OH,NaN,Proprietary,Subsidized,24,24,71512.0,26,36285.0,014338,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,1324 YOUNGSTOWN-WARREN RD,NILES,OH,44446.0,,,
3036,025630,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,,OH,NaN,Proprietary,Subsidized,24,24,71512.0,26,36285.0,030676,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,615 BOARDMAN-CANFIELD ROAD,BOARDMAN,OH,44512.0,,,
3043,003364,SAINT CHARLES BORROMEO SEMINARY,,PA,NaN,Private-Nonprofit,Subsidized,2,2,7000.0,2,3500.0,,,,,,,,,
3044,011689,REFRIGERATION SCHOOL (THE),,AZ,NaN,Proprietary,Subsidized,145,147,416412.0,181,235273.0,,,,,,,,,
3049,025565,YUKON BEAUTY COLLEGE,,OK,NaN,Proprietary,Subsidized,6,6,19832.0,6,9916.0,017166,YUKON BEAUTY COLLEGE,1231 GARTH BROOKS BOULEVARD,YUKON,OK,73099.0,,,
3054,021422,LEX LA RAY TECHNICAL CENTER,,MO,NaN,Public,Subsidized,11,11,37769.0,11,18885.0,014971,LEX LA RAY TECHNICAL CENTER,2323 HIGH SCHOOL DR,LEXINGTON,MO,64067.0,,,
3055,025696,SEARCY BEAUTY COLLEGE,,AR,NaN,Proprietary,Subsidized,17,17,53903.0,18,27434.0,017262,SEARCY BEAUTY COLLEGE,1004 SOUTH MAIN STREET,SEARCY,AR,72143.0,,,
3056,025728,VISTA COLLEGE,,TX,NaN,Proprietary,Subsidized,87,88,291199.0,94,92255.0,017276,VISTA COLLEGE,6101 MONTANA AVENUE,EL PASO,TX,79925.0,,,
3060,021579,ROCHESTER GENERAL-ISABELLA GRAHAM HART SCHOOL OF PRACTICAL NURSING,,NY,NaN,Private-Nonprofit,Subsidized,24,24,43374.0,29,25437.0,,,,,,,,,
3061,025769,CHARTER COLLEGE,,WA,NaN,Proprietary,Subsidized,641,641,1937505.0,652,914414.0,,,,,,,,,
3062,022855,CREATIVE CIRCUS,,GA,NaN,Proprietary,Subsidized,40,41,133809.0,45,55141.0,,,,,,,,,
3066,023330,HAIR ACADEMY,,MD,NaN,Proprietary,Subsidized,8,8,17550.0,13,12300.0,016509,HAIR ACADEMY,8435 ANNAPOLIS RD,NEW CARROLLTON,MD,20784.0,,,
3067,025796,MURDOCH UNIVERSITY,,,NaN,Foreign-Public,Subsidized,3,3,9000.0,3,9000.0,,,,,,,,,
3071,025844,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF MASSACHUSETTS,,RI,NaN,Proprietary,Subsidized,192,192,454462.0,211,243780.0,,,,,,,,,
3075,021719,AILEY SCHOOL (THE),,NY,NaN,Private-Nonprofit,Subsidized,7,7,32536.0,7,16268.0,015038,AILEY SCHOOL (THE),405 WEST 55TH STREET,NEW YORK,NY,10019.0,,,
3077,025880,UNIVERSITY OF ULSTER,,,NaN,Foreign-Public,Subsidized,3,3,13500.0,3,6750.0,,,,,,,,,
3083,025938,CONCORDIA UNIVERSITY OF EDMONTON,,,NaN,Foreign-Private,Subsidized,2,2,11000.0,2,5500.0,,,,,,,,,
3089,022759,"MODERN WELDING SCHOOL, INC",,NY,NaN,Proprietary,Subsidized,9,9,28758.0,9,14379.0,,,,,,,,,
3099,021348,OLD TOWN BARBER COLLEGE,,KS,NaN,Proprietary,Subsidized,23,23,66870.0,25,34935.0,,,,,,,,,
3102,005289,WAYNESVILLE CAREER CENTER,,MO,NaN,Public,Subsidized,9,9,31500.0,9,15750.0,014833,WAYNESVILLE CAREER CENTER,400 G.W. LANE,WAYNESVILLE,MO,65583.0,,,
3105,026117,DUBLIN CITY UNIVERSITY,,,NaN,Foreign-Public,Subsidized,1,1,5500.0,1,2750.0,,,,,,,,,
3106,026119,KING'S UNIVERSITY (THE),,,NaN,Foreign-Private,Subsidized,2,2,9000.0,2,4500.0,,,,,,,,,
3112,025193,OHIO STATE SCHOOL OF COSMETOLOGY,,OH,NaN,Proprietary,Subsidized,23,23,70569.0,23,35285.0,015932,OHIO STATE SCHOOL OF COSMETOLOGY,"789 HEBRON ROAD, SUITE J",HEATH,OH,43056.0,,,
3115,021466,SOUTH MOUNTAIN COMMUNITY COLLEGE,,AZ,NaN,Public,Subsidized,208,217,749604.0,217,375378.0,015001,SOUTH MOUNTAIN COMMUNITY COLLEGE,7050 SOUTH 24TH STREET,PHOENIX,AZ,85040.0,,,
3117,022975,OEHRLEIN SCHOOL OF COSMETOLOGY,,IL,NaN,Proprietary,Subsidized,10,10,33574.0,10,16787.0,016242,OEHRLEIN SCHOOL OF COSMETOLOGY,100 MEADOW AVE,EAST PEORIA,IL,61611.0,,,
3119,007921,PAUL MITCHELL THE SCHOOL ARKANSAS,,AR,NaN,Proprietary,Subsidized,17,18,55450.0,19,28100.0,008070,PAUL MITCHELL THE SCHOOL ARKANSAS,2167 WEST MARTIN LUTHER KING,FAYETTEVILLE,AR,72701.0,,,
3120,025802,ATLANTA SCHOOL OF MASSAGE,,GA,NaN,Proprietary,Subsidized,47,47,106588.0,62,57054.0,017369,ATLANTA SCHOOL OF MASSAGE,2 DUNWOODY PARK SOUTH,ATLANTA,GA,30338.0,,,
3125,022755,PAUL MITCHELL THE SCHOOL KNOXVILLE,,TN,NaN,Proprietary,Subsidized,23,23,75666.0,25,40166.0,016062,PAUL MITCHELL THE SCHOOL KNOXVILLE,8380 KINGSTON PIKE,KNOXVILLE,TN,37919.0,,,
3130,012842,OXNARD COLLEGE,,CA,NaN,Public,Subsidized,31,31,115868.0,31,58809.0,016391,OXNARD COLLEGE,4000 S ROSE AVE,OXNARD,CA,93030.0,,,
3132,022063,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,13,13,33250.0,18,21000.0,014997,BEAUTY INSTITUTE (THE),1921 UNION BOULEVARD,ALLENTOWN,PA,18109.0,,,
3132,022063,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,13,13,33250.0,18,21000.0,015603,BEAUTY INSTITUTE (THE),50 EAST BUTLER PIKE,AMBLER,PA,19002.0,,,
3132,022063,BEAUTY INSTITUTE (THE),,PA,NaN,Proprietary,Subsidized,13,13,33250.0,18,21000.0,015604,BEAUTY INSTITUTE (THE),100 N 8TH STREET,STROUDSBURG,PA,18360.0,,,
3136,021921,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS,,OH,NaN,Public,Subsidized,11,11,36076.0,11,11038.0,,,,,,,,,
3137,021727,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,83,83,280267.0,89,125332.0,014016,CONCORDE CAREER INSTITUTE,7259 SALISBURY ROAD,JACKSONVILLE,FL,32256.0,,,
3137,021727,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,83,83,280267.0,89,125332.0,015307,CONCORDE CAREER INSTITUTE,4202 W. SPRUCE ST,TAMPA,FL,33607.0,,,
3137,021727,CONCORDE CAREER INSTITUTE,,FL,NaN,Proprietary,Subsidized,83,83,280267.0,89,125332.0,016050,CONCORDE CAREER INSTITUTE,10933 MARK'S WAY,MIRAMAR,FL,33025.0,,,
3140,022859,UCAS UNIVERSITY OF COSMETOLOGY ARTS & SCIENCES,,TX,NaN,Proprietary,Subsidized,79,79,230156.0,82,118591.0,,,,,,,,,
3141,030219,EDIC COLLEGE,,PR,NaN,Proprietary,Subsidized,2,2,9000.0,2,4500.0,,,,,,,,,
3148,022537,INTELLITEC COLLEGE,,CO,NaN,Proprietary,Subsidized,71,71,199239.0,88,110142.0,015908,INTELLITEC COLLEGE,2315 E PIKES PEAK AVE,COLORADO SPRINGS,CO,80909.0,,,
3148,022537,INTELLITEC COLLEGE,,CO,NaN,Proprietary,Subsidized,71,71,199239.0,88,110142.0,030669,INTELLITEC COLLEGE,772 HORIZON DR,GRAND JUNCTION,CO,81506.0,,,
3151,030295,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,,,NaN,Foreign-Public,Subsidized,1,1,1952.0,1,976.0,,,,,,,,,
3152,021178,AVEDA ARTS & SCIENCES INSTITUTE LAFAYETTE,,LA,NaN,Proprietary,Subsidized,15,15,39090.0,15,19544.0,,,,,,,,,
3156,030333,MANCHESTER METROPOLITAN UNIVERSITY (THE),,,NaN,Foreign-Public,Subsidized,8,8,36000.0,8,12000.0,,,,,,,,,
3167,022427,BERKELEY CITY COLLEGE,,CA,NaN,Public,Subsidized,24,24,94250.0,24,28500.0,014311,BERKELEY CITY COLLEGE,2020 MILVIA STREET,BERKELEY,CA,94704.0,,,
3169,020503,ACADEMY COLLEGE,,MN,NaN,Proprietary,Subsidized,25,25,108237.0,35,52272.0,013505,ACADEMY COLLEGE,1600 W. 82ND STREET,BLOOMINGTON,MN,55431.0,,,
3171,022750,JENNY LEA ACADEMY OF COSMETOLOGY,,TN,NaN,Proprietary,Subsidized,24,24,74605.0,25,37300.0,016051,JENNY LEA ACADEMY OF COSMETOLOGY,222 EAST UNAKA AVENUE,JOHNSON CITY,TN,37601.0,,,
3179,020561,FOUR RIVERS CAREER CENTER,,MO,NaN,Public,Subsidized,12,12,42000.0,12,21000.0,013529,FOUR RIVERS CAREER CENTER,1978 IMAGE DRIVE,WASHINGTON,MO,63090.0,,,
3181,030672,UNIVERSITY OF SYDNEY,,,NaN,Foreign-Public,Subsidized,4,4,15500.0,5,12750.0,,,,,,,,,
3184,005102,SCHOOL OF DIAGNOSTIC IMAGING-CLEVELAND CLINIC HEALTH SYSTEM,,OH,NaN,Private-Nonprofit,Subsidized,17,17,59417.0,17,29713.0,,,,,,,,,
3185,022775,HOUSE OF HEAVILIN BEAUTY COLLEGE,,MO,NaN,Proprietary,Subsidized,11,11,33836.0,11,16914.0,009607,HOUSE OF HEAVILIN BEAUTY COLLEGE,5720 TROOST,KANSAS CITY,MO,64110.0,,,
3185,022775,HOUSE OF HEAVILIN BEAUTY COLLEGE,,MO,NaN,Proprietary,Subsidized,11,11,33836.0,11,16914.0,014819,HOUSE OF HEAVILIN BEAUTY COLLEGE,2000 SOUTH WEST STATE ROUTE 7,BLUE SPRINGS,MO,64014.0,,,
3186,022890,AMERICAN HAIR ACADEMY,,IA,NaN,Proprietary,Subsidized,9,9,27704.0,10,14264.0,016167,AMERICAN HAIR ACADEMY,304 SOUTH IRIS STREET,MT. PLEASANT,IA,52641.0,,,
3192,030738,UNIVERSITY OF DEBRECEN,,,NaN,Foreign-Public,Subsidized,2,2,8000.0,2,4000.0,,,,,,,,,
3200,022621,HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY,,IL,NaN,Proprietary,Subsidized,11,11,34662.0,11,17330.0,,,,,,,,,
3207,030843,UNIVERSITY OF LIMERICK,,,NaN,Foreign-Public,Subsidized,6,6,28674.0,6,14337.0,,,,,,,,,
3210,030887,ROYAL CONSERVATOIRE OF SCOTLAND,,,NaN,Foreign-Public,Subsidized,18,18,80000.0,18,26667.0,,,,,,,,,
3215,030914,UNIVERSITY OF WOLLONGONG,,,NaN,Foreign-Public,Subsidized,3,3,12500.0,3,6250.0,,,,,,,,,
3216,030925,NOTTINGHAM TRENT UNIVERSITY,,,NaN,Foreign-Public,Subsidized,3,3,14238.0,3,7119.0,,,,,,,,,
3217,042154,GRACE SCHOOL OF THEOLOGY,,TX,NaN,Private-Nonprofit,Subsidized,4,4,12088.0,4,3039.0,B42154,GRACE SCHOOL OF THEOLOGY,3705 COLLEGE PARK DRIVE,THE WOODLANDS,TX,77384.0,,,
3218,030954,BOND UNIVERSITY,,,NaN,Foreign-Private,Subsidized,3,3,10500.0,3,10500.0,,,,,,,,,
3219,022637,MIAMI VALLEY CAREER TECHNOLOGY CENTER,,OH,NaN,Public,Subsidized,8,8,20000.0,8,10000.0,,,,,,,,,
3226,005330,FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE,,PA,NaN,Public,Subsidized,7,7,24500.0,7,12250.0,,,,,,,,,
3227,025885,OHIO STATE SCHOOL OF COSMETOLOGY,,OH,NaN,Proprietary,Subsidized,17,17,60755.0,17,30378.0,015932,OHIO STATE SCHOOL OF COSMETOLOGY,"789 HEBRON ROAD, SUITE J",HEATH,OH,43056.0,,,
3233,041976,"FLORIDA INSTITUTE OF RECORDING, SOUND AND TECHNOLOGY",,FL,NaN,Proprietary,Subsidized,50,50,170247.0,50,86873.0,,,,,,,,,
3234,025200,INTERNATIONAL SCHOOL OF SKIN AND NAILCARE,,GA,NaN,Proprietary,Subsidized,35,35,80907.0,41,44026.0,,,,,,,,,
3236,031025,AMERICAN UNIVERSITY OF ROME,,,NaN,Foreign-Private,Subsidized,34,34,153222.0,34,80230.0,,,,,,,,,
3251,025462,LAUREL BUSINESS INSTITUTE,,PA,NaN,Proprietary,Subsidized,7,7,23750.0,7,11875.0,017118,LAUREL BUSINESS INSTITUTE,11 EAST  PENN STREET,UNIONTOWN,PA,15401.0,,,
3252,011026,WARRENSBURG AREA CAREER CENTER,,MO,NaN,Public,Subsidized,7,7,24500.0,7,12250.0,,,,,,,,,
3255,021499,PAUL MITCHELL THE SCHOOL-JACKSONVILLE,,FL,NaN,Proprietary,Subsidized,63,63,199568.0,67,105193.0,014748,PAUL MITCHELL THE SCHOOL-JACKSONVILLE,5373 LENOX AVE,JACKSONVILLE,FL,32205.0,,,
3264,034296,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,,FL,NaN,Private-Nonprofit,Subsidized,1,1,5500.0,1,2721.0,,,,,,,,,
3274,022381,MINNESOTA SCHOOL OF COSMETOLOGY,,MN,NaN,Proprietary,Subsidized,22,22,59979.0,23,30675.0,015752,MINNESOTA SCHOOL OF COSMETOLOGY,1750 WEIR DRIVE,WOODBURY,MN,55125.0,,,
3276,021108,CALIFORNIA COLLEGE SAN DIEGO,,CA,NaN,Private-Nonprofit,Subsidized,28,28,107234.0,35,63135.0,014683,CALIFORNIA COLLEGE SAN DIEGO,700 BAY MARINA DRIVE,NATIONAL CITY,CA,91950.0,,,
3287,031773,SAN JUAN BAUTISTA SCHOOL OF MEDICINE,,PR,NaN,Private-Nonprofit,Subsidized,8,8,28489.0,8,14245.0,,,,,,,,,
3288,025681,TEXAS BARBER COLLEGE,,TX,NaN,Proprietary,Subsidized,30,30,102867.0,30,51434.0,017250,TEXAS BARBER COLLEGE,8201 SOUTH GESSNER ROAD,HOUSTON,TX,77036.0,,,
3292,006448,"ELLIS MEDICINE, THE BELANGER SCHOOL OF NURSING",,NY,NaN,Private-Nonprofit,Subsidized,6,6,26500.0,6,13250.0,,,,,,,,,
